,Work Happiness Score,Flexibility,Learning,Achievement,Appreciation,Inclusion,Support,Purpose,Energy,Compensation,Satisfaction,Management,Trust,Belonging,Stress-free,Company
78,59,65,68,69,66,66,66,67,61,64,64,61,61,60,52,TD Bank
79,55,65,66,63,64,64,64,65,55,75,58,57,58,56,50,CSAA Insurance Group
80,75,75,82,79,81,81,80,79,74,77,74,74,76,75,54,Apple
81,73,74,75,74,74,69,73,75,72,72,69,69,70,67,65,Addison Group
82,68,69,74,72,73,68,71,73,68,71,66,66,64,64,60,Kimberly-Clark
83,60,66,67,68,65,64,64,65,60,66,62,60,57,58,56,Ally Financial
84,68,74,73,72,72,69,70,74,68,73,68,64,63,64,61,Pratt & Whitney
85,66,73,74,70,68,63,67,70,70,60,,63,59,63,,Advantage xPO
86,61,66,69,70,67,67,67,68,62,65,61,62,60,59,49,Comcast
87,72,78,76,77,74,73,74,75,73,76,72,70,71,68,62,Kforce
88,66,69,67,67,69,69,68,67,63,65,64,66,66,66,63,Indeed
89,57,68,60,65,64,58,64,64,56,63,56,59,57,53,51,Peraton
90,50,50,58,56,54,50,53,57,52,50,49,46,46,46,54,Clean Harbors
91,69,75,75,73,75,73,74,74,69,74,68,70,68,68,55,Capital One
92,57,58,63,70,63,60,61,65,57,63,58,56,53,53,54,Sleep Number
93,67,82,67,67,61,66,57,71,69,59,61,52,58,58,67,Uber
94,51,66,55,61,55,55,55,58,54,55,53,52,50,47,49,Gallagher
95,73,74,75,76,76,74,75,76,71,72,69,70,69,67,61,TEKsystems
96,56,59,61,64,60,56,59,62,58,63,57,52,53,52,55,Penske Truck Leasing and Logistics
97,69,76,74,73,75,76,72,73,70,72,70,67,69,66,58,Publicis Sapient
98,78,83,83,81,80,81,80,81,77,78,77,76,77,75,64,Intuit
99,76,68,74,74,72,70,70,75,76,67,70,65,66,69,84,Sparks Group
100,69,72,73,72,72,69,71,73,68,75,67,64,65,64,59,BOEING
101,77,76,77,79,77,76,76,80,77,74,76,72,73,74,61,Delta
102,60,65,67,69,68,68,66,65,61,65,61,64,60,57,48,Citizens
103,62,70,70,68,67,66,67,68,62,65,59,63,60,59,51,UnitedHealth Group
104,64,71,76,69,72,73,72,71,64,67,67,67,69,65,48,PwC
105,62,71,66,67,64,65,65,65,62,60,61,58,61,57,63,Belcan
106,60,72,70,68,64,64,66,69,61,58,64,63,60,59,56,Nuance
107,79,81,76,77,74,74,73,77,77,73,83,70,71,72,,MATRIX Resources
108,51,57,62,59,58,54,59,63,56,61,50,51,48,48,56,CSL Behring
109,54,65,60,61,62,62,62,61,56,60,56,57,54,51,52,FIS
110,59,64,62,67,62,63,63,67,60,66,58,58,58,56,55,Amazon.com Services LLC
111,61,61,68,66,66,62,64,67,62,69,61,59,58,57,57,MARS
112,58,65,66,67,70,66,69,65,58,60,57,63,63,59,55,Vanguard
113,68,72,73,72,73,71,72,71,69,69,68,69,67,67,59,HSBC
114,67,,71,75,73,70,65,70,70,,,65,65,66,,LinQuest Corporation
115,71,79,76,76,76,77,74,73,70,73,68,68,71,70,55,UKG (Ultimate Kronos Group)
116,69,73,74,74,73,69,71,76,70,74,68,67,67,66,59,Pfizer
117,68,78,77,76,75,75,71,75,72,75,68,69,71,71,54,eBay Inc.
118,60,60,65,64,63,57,58,69,60,54,57,54,55,54,58,State of New Mexico
119,44,50,51,59,51,47,52,51,47,60,48,45,44,44,49,Spreetail
120,61,66,71,69,71,70,70,68,61,68,64,64,66,62,52,Charles Schwab
121,63,66,71,70,69,68,69,70,64,69,65,65,64,62,52,Bank of America
122,89,89,89,89,88,91,88,90,89,87,89,91,89,91,81,MWIDM Inc.
123,66,71,71,73,71,68,69,70,66,70,67,64,65,63,57,Philips
124,71,78,77,79,76,71,75,75,71,77,66,69,67,65,54,Biogen
125,52,55,57,61,56,52,55,60,55,60,51,49,48,49,52,Republic Services
126,59,65,66,65,64,62,62,64,58,64,58,56,58,56,51,BMO Harris Bank
127,70,74,73,73,73,74,71,73,69,77,66,69,70,68,61,Visa
128,66,71,73,69,72,72,70,70,65,68,68,66,66,65,51,Deloitte
129,67,63,66,66,68,65,68,69,68,66,,63,67,67,,CyberCoders
130,67,70,72,71,69,68,69,72,67,66,64,65,64,62,58,Kelly
131,63,69,70,69,69,63,67,72,66,62,63,60,60,61,52,Bon Secours
132,59,66,65,69,65,62,64,65,59,58,59,58,58,55,49,C.H Robinson
133,44,59,57,57,57,50,56,57,45,41,47,47,47,42,42,Pace Analytical Services LLC
134,55,63,61,63,62,58,60,59,58,57,58,54,54,54,59,Scientific Games
135,55,69,61,62,65,61,65,62,55,69,62,60,56,55,53,Alliance Data
136,61,66,68,67,66,63,66,67,61,67,61,60,61,59,54,Delta Dental of Washington
137,65,73,74,71,74,72,73,71,66,69,66,68,66,65,48,ADP
138,70,71,71,73,70,69,68,73,68,71,67,65,63,63,62,Colgate-Palmolive
139,52,62,58,65,60,56,57,56,53,63,52,51,53,49,51,MUFG
140,83,85,86,87,86,86,88,89,84,83,,83,80,81,,Vertex Pharmaceuticals
141,75,80,77,78,73,75,76,75,73,80,72,69,69,69,64,Cox Enterprises
142,68,73,72,74,71,69,70,74,67,70,68,67,63,63,61,Sanofi
143,64,68,67,71,68,66,67,68,66,60,62,62,61,61,58,Macy’s
144,71,78,77,77,76,74,74,74,71,70,69,68,70,67,59,IBM
145,76,76,78,78,81,79,82,76,75,76,74,75,75,74,55,British American Tobacco
146,58,66,67,65,67,69,68,67,57,67,58,62,62,60,48,USAA
147,56,68,61,65,62,60,64,65,57,58,60,59,57,54,55,Sharecare Inc.
148,83,82,84,84,83,83,82,85,85,83,79,78,78,76,79,The Execu|Search Group
149,69,69,69,73,70,67,69,71,70,66,65,65,63,64,61,Delaware North
150,74,75,76,75,74,73,73,76,73,71,70,70,70,68,65,Robert Half
151,62,70,67,71,66,63,65,67,64,66,61,59,58,58,53,Cox Automotive
152,59,64,70,71,65,61,63,67,63,62,63,58,56,57,61,Olympus Corporation of the Americas
153,63,67,69,70,70,70,70,70,63,70,64,65,64,63,50,Cox Communications Inc
154,72,78,77,78,76,75,74,77,72,72,72,69,70,69,58,Motorola Solutions
155,69,68,72,66,72,69,75,71,67,66,71,64,65,64,65,North Highland
156,55,67,65,64,60,59,60,61,57,62,53,52,53,51,53,Guidehouse
157,61,69,74,65,72,67,70,67,63,70,58,61,65,60,55,"FTI Consulting, Inc."
158,64,66,73,70,71,73,73,74,59,71,,64,68,62,,Fidelity TalentSource
159,70,70,68,73,70,67,68,73,70,74,67,64,63,61,74,The Judge Group
160,65,67,73,76,70,67,68,73,70,67,65,65,64,65,60,Envision
161,56,70,62,63,59,59,59,62,57,56,56,57,53,52,56,Change Healthcare
162,53,59,63,63,60,55,61,69,56,57,53,55,52,52,49,Charles River Laboratories
163,72,77,76,78,75,73,74,79,73,78,74,69,70,71,57,Novartis
164,53,59,60,61,57,54,57,57,53,59,53,54,50,49,54,Genpact
165,55,66,62,68,63,60,61,63,57,56,56,57,56,53,48,One Call
166,69,73,74,72,73,66,68,73,69,72,,63,68,64,,ANSYS
167,67,70,74,73,72,69,71,75,70,74,68,65,64,66,53,NYU Langone Health
168,69,71,76,73,70,70,71,78,71,72,69,64,65,67,55,Texas Children's Hospital
169,63,70,73,68,72,72,72,69,63,66,67,66,67,64,49,EY
170,64,65,72,69,70,65,69,74,66,60,65,62,62,62,54,Vanderbilt University Medical Center
171,66,69,69,73,70,66,68,72,66,71,64,62,63,63,56,Takeda Pharmaceutical
172,60,78,65,62,61,62,63,66,58,75,,61,61,59,,Brighthouse Financial
173,73,73,78,74,74,73,76,80,70,77,70,71,71,69,59,National Security Agency
174,64,68,65,68,65,62,62,68,63,63,55,57,61,61,61,Paramount
175,62,62,64,71,64,65,65,66,63,59,64,62,60,60,56,Red Bull
176,73,79,77,76,79,77,76,79,72,65,73,72,74,72,60,University of Minnesota
177,58,59,62,65,60,54,60,64,57,69,59,55,53,53,53,A. O. Smith Corporation
178,53,55,65,66,65,60,66,62,57,56,63,59,55,52,56,"Montrose Environmental Group, Inc."
179,59,59,62,68,62,60,62,66,62,67,58,57,56,56,53,PepsiCo
180,56,59,62,64,63,57,61,61,58,58,56,53,54,53,53,Lowe's
181,60,69,69,66,67,67,66,68,61,62,59,62,63,60,51,Farmers Insurance Group
182,63,71,72,71,69,65,67,72,64,70,63,61,61,60,58,GE Healthcare
183,54,61,64,68,63,61,62,62,56,56,55,58,56,54,48,PNC Financial Services Group
184,57,56,58,64,59,56,58,60,57,64,54,52,53,50,58,JLG Equipment Services Inc
185,49,56,63,63,62,63,64,61,50,68,53,59,56,52,41,GEICO
186,77,81,79,80,81,81,80,81,75,66,79,77,78,77,63,Arizona State University
187,60,63,67,66,66,61,66,71,62,61,62,56,57,58,58,Atlantic Health System
188,76,78,78,79,78,75,78,81,77,79,74,74,73,74,65,US Government Accountability Office
189,70,69,74,75,73,71,72,74,72,80,69,66,67,66,51,Netflix
190,44,38,55,54,51,43,50,51,48,68,42,41,40,39,49,Union Pacific
191,60,62,69,70,67,65,67,67,62,72,59,62,58,57,48,AT&T
192,57,63,66,65,64,62,63,66,58,64,57,57,57,56,50,Truist Financial
193,60,67,68,69,66,65,65,67,60,64,58,61,60,58,52,U.S. Bank
194,68,70,69,72,71,70,72,72,68,63,66,65,66,64,61,Levi Strauss & Co.
195,71,83,67,71,63,69,60,76,74,57,65,53,62,61,65,Shipt
196,64,69,68,70,69,65,66,67,63,69,63,59,62,60,58,General Atomics and Affiliated Companies
197,68,71,70,73,71,69,69,71,69,70,65,65,64,64,60,bp
198,54,60,62,63,63,59,61,60,57,55,54,57,54,52,49,WALGREENS
199,77,76,80,79,79,84,76,84,76,80,,79,73,73,,Audible
200,57,59,64,65,61,58,60,63,60,68,57,55,54,55,53,Kohler
201,48,47,50,56,52,47,52,54,49,61,47,45,46,45,49,Orgill
202,56,66,65,66,65,62,64,64,57,63,59,59,56,55,48,Regions
203,66,59,72,77,70,67,72,74,70,58,,63,63,60,,Next Generation
204,59,74,72,67,68,69,63,68,61,74,65,59,60,57,64,McAfee
205,57,68,59,64,60,59,62,59,55,58,57,56,55,55,46,MultiPlan Inc.
206,83,90,83,84,85,85,83,87,87,89,81,80,84,83,73,Realty ONE Group
207,70,78,75,72,74,76,76,72,68,77,74,69,69,70,55,Square
208,62,62,70,72,67,63,63,72,64,67,59,58,59,59,58,City of Hope
209,63,67,67,69,67,63,65,68,63,68,60,60,62,60,53,UMB Financial Corporation
210,63,58,66,68,64,59,63,69,62,75,61,54,56,57,55,Amtrak
211,58,70,66,68,66,63,64,62,59,59,56,60,60,55,54,State Street
212,76,68,75,78,68,68,63,76,70,63,,63,64,61,,OnPoint
213,56,66,60,71,63,61,61,61,58,64,53,54,58,54,56,BankUnited
214,65,74,76,71,73,75,74,73,63,72,68,68,70,66,52,Fidelity Investments
215,52,54,63,63,60,59,62,61,57,60,53,57,53,51,49,DISH
216,75,79,80,76,80,79,77,80,75,80,76,74,77,73,60,Lawrence Livermore National Laboratory
217,73,79,77,77,78,75,76,76,72,70,71,71,70,69,61,Hewlett Packard Enterprise
218,60,64,68,67,66,58,63,67,60,72,57,58,58,58,56,Aerojet Rocketdyne
219,55,59,59,61,59,56,60,63,52,59,54,54,52,52,56,General Dynamics
220,61,65,66,68,65,66,63,68,63,55,58,60,59,59,66,Applied Medical
221,71,74,69,74,71,73,72,73,69,68,69,66,66,66,62,Vaco
222,54,55,62,62,58,53,56,61,58,58,54,49,49,50,54,Progress Rail Services Corp.
223,56,60,60,61,59,56,58,58,57,60,59,53,54,51,59,DISYS
224,62,67,68,65,65,65,63,67,58,64,63,55,59,57,55,"Tyler Technologies, Inc."
225,55,61,63,64,62,58,61,61,56,62,57,58,54,53,53,Santander Holdings USA Inc
226,58,71,67,67,67,67,67,67,58,71,61,63,61,58,47,Liberty Mutual Insurance
227,59,65,62,67,65,64,65,65,61,67,59,57,58,57,51,Target
228,74,75,83,77,80,81,80,81,74,79,83,77,77,76,46,Boston Consulting Group
229,71,75,82,77,75,71,73,87,75,77,75,69,70,72,50,St. Jude Children's Research Hospital
230,66,64,68,70,66,64,66,73,66,71,62,59,59,59,67,Loyal Source
231,71,77,74,75,74,73,71,76,71,79,72,66,68,67,61,Freddie Mac
232,69,69,75,74,73,69,71,75,70,73,74,65,67,68,55,UCLA Health
233,58,62,65,66,63,60,65,61,58,57,46,60,55,54,58,HCTec
234,58,66,62,69,62,58,62,62,60,67,60,58,57,55,49,World Fuel Services
235,72,80,81,77,76,78,75,79,72,73,66,67,71,69,56,Johns Hopkins Applied Physics Laboratory (APL)
236,68,69,72,72,71,68,71,72,68,80,70,65,63,64,61,PG&E Corporation
237,60,70,72,66,64,64,65,69,61,59,60,57,61,59,54,EDWARD JONES
238,63,63,69,66,64,64,65,70,64,75,65,59,59,58,60,Air Products
239,70,75,73,74,73,71,72,74,69,73,67,66,68,64,62,SAIC
240,66,66,71,69,68,64,67,70,65,71,63,62,61,60,57,John Deere
241,76,72,78,78,80,78,79,79,76,69,72,71,74,74,59,The Walt Disney Company (Corporate)
242,75,78,79,76,80,74,77,78,74,66,78,71,73,71,65,Georgia Tech
243,69,76,75,73,72,71,76,69,69,62,63,70,68,67,51,TikTok
244,57,61,61,64,65,60,66,61,58,55,59,63,56,55,53,Coyote Logistics
245,66,67,73,73,68,63,68,70,67,73,64,59,61,60,59,Textron Aviation
246,66,72,72,72,69,69,70,72,65,71,64,65,64,63,55,Humana
247,63,60,66,69,67,62,66,69,63,73,61,61,61,61,60,The Hershey Company
248,79,82,82,80,81,82,81,85,77,71,80,77,82,78,60,University of Wisconsin–Madison
249,57,66,58,71,58,53,58,67,63,67,,52,51,50,,Simon & Schuster
250,61,64,71,68,66,61,66,70,62,63,61,58,58,61,52,OSF HealthCare
251,57,58,63,64,61,57,60,64,59,68,58,55,55,54,54,Cargill
252,61,70,70,69,68,67,66,68,63,63,59,60,63,60,48,Experian
253,70,70,75,75,72,68,71,72,71,73,62,65,65,63,55,ExxonMobil
254,67,70,70,72,71,69,72,71,69,68,67,68,65,65,54,Hilton Grand Vacations
255,60,65,61,63,67,59,63,64,57,57,59,57,55,54,56,CAPCO
256,71,80,74,84,74,69,72,75,67,74,73,62,68,66,63,"Vizient, Inc."
257,67,69,76,71,72,66,70,78,67,64,66,61,62,65,61,Children's Wisconsin
258,64,63,69,70,67,63,67,71,66,67,61,60,61,60,56,Toyota
259,63,68,69,68,68,66,66,67,63,75,62,61,60,60,58,Corning
260,76,84,79,79,81,80,78,76,75,79,77,70,77,76,58,Adobe
261,83,88,86,88,85,88,87,83,83,89,82,83,82,81,68,Lendio
262,65,67,74,69,71,66,70,75,66,71,65,63,64,63,54,Mayo Clinic
263,55,57,63,60,62,60,61,58,53,63,59,58,56,57,58,SoFi
264,61,71,66,69,68,65,67,69,62,67,63,64,60,58,60,Magellan Health
265,65,70,72,70,69,65,69,73,67,67,64,62,61,62,52,Novant Health
266,66,67,72,76,71,64,73,71,66,78,,65,64,64,,Coterra Energy
267,69,71,75,77,74,73,74,74,70,77,69,70,68,67,51,Verizon
268,50,54,61,62,59,58,61,59,53,65,52,56,52,50,45,Spectrum
269,43,50,66,55,62,69,65,55,50,49,46,57,53,49,43,Rocket Mortgage
270,61,66,66,65,66,59,62,63,61,53,56,59,55,54,51,"iHeartMedia, Inc."
271,60,59,66,65,61,62,62,67,62,55,62,59,56,56,60,Schneider
272,85,84,90,85,82,85,85,90,78,77,,82,80,82,,Roblox
273,75,91,79,80,78,75,73,76,71,80,,71,72,73,,Bacardi
274,69,79,78,79,73,70,65,80,74,77,,58,66,65,,National Renewable Energy Laboratory
275,74,80,72,81,83,76,80,84,77,65,77,69,72,72,70,Millennium Health
276,65,64,69,71,67,64,67,71,65,71,64,61,62,62,57,Ford Motor Company
277,57,72,61,66,66,59,61,61,61,67,,52,54,54,,Paysafe
278,62,70,75,70,68,70,67,75,67,63,,66,63,64,,Central Pacific Bank
279,69,75,75,73,75,73,74,74,69,74,68,70,68,68,55,Capital One - US
280,59,64,63,67,64,59,63,66,61,65,59,57,55,54,59,Trane Technologies
281,53,67,66,68,66,62,63,67,48,72,50,48,55,49,,Bowery Farming
282,62,63,67,69,65,60,63,67,63,65,59,59,57,56,58,Caterpillar
